canonical_person_id,name,dataset_count,independent_source_family_count,datasets,source_families,evidence_types,source_locators
glenn-hoburg,Glenn Hoburg,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:21; a_faithful_pca_2022-03-14::signature:21; national_partnership_confirmed_members::confirmed_member:60:glenn hoburg; warhurst_protest_2019::print_order:154
hace-cargo,Hace Cargo,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:148; a_faithful_pca_2022-03-14::signature:167; national_partnership_confirmed_members::confirmed_member:63:hace cargo; warhurst_protest_2019::print_order:160
hansoo-jin,Hansoo Jin,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; overture_15_negative_votes_2022,a_faithful_pca; national_partnership; overture_15_negative_votes_2022,formal_organization_membership; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:195; a_faithful_pca_2022-03-14::signature:214; national_partnership_confirmed_members::confirmed_member:64:hansoo jin; overture_15_negative_votes_2022::print_order:75
james-han,James Han,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:339; a_faithful_pca_2022-03-14::signature:355; overture_15_negative_votes_2022::print_order:62; warhurst_protest_2019::print_order:7
jason-cornwell,Jason Cornwell,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; overture_37_minority_2021,a_faithful_pca; overture_15_negative_votes_2022; overture_37_minority_2021,minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:139; a_faithful_pca_2022-03-14::signature:158; overture_15_negative_votes_2022::print_order:34; overture_37_minority_2021::print_order:6
jason-polk,Jason Polk,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:340; a_faithful_pca_2022-03-14::signature:356; national_partnership_confirmed_members::confirmed_member:72:jason polk; warhurst_protest_2019::print_order:140
joe-thompson,Joe Thompson,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:179; a_faithful_pca_2022-03-14::signature:198; nae_withdrawal_protest_2022::print_order:178; warhurst_protest_2019::print_order:133
justin-edgar,Justin Edgar,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:194; a_faithful_pca_2022-03-14::signature:213; overture_15_negative_votes_2022::print_order:46; warhurst_protest_2019::print_order:171
keith-robinson,Keith Robinson,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:190; a_faithful_pca_2022-03-14::signature:209; nae_withdrawal_protest_2022::print_order:141; warhurst_protest_2019::print_order:71
michael-novak,Michael Novak,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:396; a_faithful_pca_2022-03-14::signature:406; national_partnership_confirmed_members::confirmed_member:104:michael novak; warhurst_protest_2019::print_order:28
mike-mclaughlin,Mike McLaughlin,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; formal_position_2009-overture-10-women-roles-study-minority-report; warhurst_protest_2019,a_faithful_pca; ga_2009_formal_positions; warhurst_protest_2019,formal_protest_signature; formal_report_concurrence; public_letter_signature,a_faithful_pca_2021-06-11::signature:244; a_faithful_pca_2022-03-14::signature:262; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:18; warhurst_protest_2019::print_order:100
pat-hickman,Pat Hickman,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:243; a_faithful_pca_2022-03-14::signature:261; national_partnership_confirmed_members::confirmed_member:112:pat hickman; warhurst_protest_2019::print_order:186
peter-kim,Peter Kim,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:443; a_faithful_pca_2022-03-14::signature:450; nae_withdrawal_protest_2022::print_order:87; overture_15_negative_votes_2022::print_order:92
tim-jackson,Tim Jackson,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_37_minority_2021; warhurst_protest_2019,a_faithful_pca; overture_37_minority_2021; warhurst_protest_2019,formal_protest_signature; minority_report_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:526; a_faithful_pca_2022-03-14::signature:521; overture_37_minority_2021::print_order:12; warhurst_protest_2019::print_order:165
trevor-laurence,Trevor Laurence,4,4,a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; overture_37_minority_2021; warhurst_protest_2019,a_faithful_pca; overture_15_negative_votes_2022; overture_37_minority_2021; warhurst_protest_2019,formal_protest_signature; minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:665; overture_15_negative_votes_2022::print_order:101; overture_37_minority_2021::print_order:14; warhurst_protest_2019::print_order:95
walter-lee,Walter Lee,4,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:51; a_faithful_pca_2022-03-14::signature:71; overture_15_negative_votes_2022::print_order:108; warhurst_protest_2019::print_order:121
abraham-cho,Abraham Cho,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:272; a_faithful_pca_2022-03-14::signature:33; overture_15_negative_votes_2022::print_order:26
adam-lopez,Adam Lopez,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:156; a_faithful_pca_2022-03-14::signature:175; nae_withdrawal_protest_2022::print_order:111
albert-young,Albert Young,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:530; a_faithful_pca_2022-03-14::signature:525; nae_withdrawal_protest_2022::print_order:203
andrew-norquist,Andrew Norquist,3,3,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:635; nae_withdrawal_protest_2022::print_order:124; overture_15_negative_votes_2022::print_order:128
andy-gray,Andy Gray,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:241; a_faithful_pca_2022-03-14::signature:259; nae_withdrawal_protest_2022::print_order:59
ben-coppedge,Ben Coppedge,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; ruf_campus_catalog_2025,a_faithful_pca; institution_reformed-university-fellowship,public_letter_signature; ruf_campus_role_snapshot,a_faithful_pca_2021-06-11::signature:279; a_faithful_pca_2022-03-14::signature:295; ruf_campus_catalog_2025::catalog-role:265:page:259
ben-jolliffe,Ben Jolliffe,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:283; a_faithful_pca_2022-03-14::signature:299; warhurst_protest_2019::print_order:131
bob-cargo,Bob Cargo,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:19; a_faithful_pca_2022-03-14::signature:19; warhurst_protest_2019::print_order:176
bob-flayhart,Bob Flayhart,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:16; a_faithful_pca_2022-03-14::signature:16; national_partnership_confirmed_members::confirmed_member:10:bob flayhart
bobby-suh,Bobby Suh,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:52; a_faithful_pca_2022-03-14::signature:72; nae_withdrawal_protest_2022::print_order:168
brad-lucht,Brad Lucht,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:360; a_faithful_pca_2022-03-14::signature:374; overture_15_negative_votes_2022::print_order:117
bryce-hales,Bryce Hales,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:122; a_faithful_pca_2022-03-14::signature:141; overture_15_negative_votes_2022::print_order:61
cameron-anderson,Cameron Anderson,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; institution_ridge-haven,a_faithful_pca; institution_ridge-haven,institutional_role; public_letter_signature,a_faithful_pca_2021-06-11::signature:326; a_faithful_pca_2022-03-14::signature:342; institution_ridge-haven::role:402:ridge-haven:line:11
casey-shutt,Casey Shutt,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:389; a_faithful_pca_2022-03-14::signature:399; warhurst_protest_2019::print_order:13
chris-accardy,Chris Accardy,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:240; a_faithful_pca_2022-03-14::signature:258; warhurst_protest_2019::print_order:139
chris-horne,Chris Horne,3,3,a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; ruf_campus_catalog_2025,a_faithful_pca; institution_reformed-university-fellowship; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote; ruf_campus_role_snapshot,a_faithful_pca_2022-03-14::signature:589; overture_15_negative_votes_2022::print_order:68; ruf_campus_catalog_2025::catalog-role:389:page:370
chris-polski,Chris Polski,3,3,nae_withdrawal_protest_2022; overture_15_negative_votes_2022; warhurst_protest_2019,nae_withdrawal_protest_2022; overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:132; overture_15_negative_votes_2022::print_order:139; warhurst_protest_2019::print_order:52
chris-sicks,Chris Sicks,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:216; a_faithful_pca_2022-03-14::signature:234; warhurst_protest_2019::print_order:30
clay-wooten,Clay Wooten,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:498; a_faithful_pca_2022-03-14::signature:500; warhurst_protest_2019::print_order:94
dan-katches,Dan Katches,3,3,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:609; nae_withdrawal_protest_2022::print_order:83; warhurst_protest_2019::print_order:76
dave-abney,Dave Abney,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:172; a_faithful_pca_2022-03-14::signature:191; overture_15_negative_votes_2022::print_order:1
david-bisgrove,David Bisgrove,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:365; a_faithful_pca_2022-03-14::signature:36; overture_15_negative_votes_2022::print_order:12
david-keithley,David Keithley,3,3,formal_position_2008-overture-9-deaconess-study-minority-report; overture_15_negative_votes_2022; warhurst_protest_2019,ga_2008_formal_positions; overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; formal_report_concurrence; recorded_negative_vote,formal_position_2008-overture-9-deaconess-study-minority-report::2008-overture-9-deaconess-study-minority-report:signer:2; overture_15_negative_votes_2022::print_order:83; warhurst_protest_2019::print_order:6
david-salsedo,David Salsedo,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:152; a_faithful_pca_2022-03-14::signature:171; national_partnership_confirmed_members::confirmed_member:44:david salsedo
david-wallover,David Wallover,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:41; a_faithful_pca_2022-03-14::signature:61; warhurst_protest_2019::print_order:196
dawson-hunt,Dawson Hunt,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:505; a_faithful_pca_2022-03-14::signature:507; overture_15_negative_votes_2022::print_order:70
elliott-wood,Elliott Wood,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:431; a_faithful_pca_2022-03-14::signature:440; overture_15_negative_votes_2022::print_order:195
geoff-bradford,Geoff Bradford,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:298; a_faithful_pca_2022-03-14::signature:314; national_partnership_confirmed_members::confirmed_member:57:geoff bradford
george-hamm,George Hamm,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; ruf_campus_catalog_2025,a_faithful_pca; institution_reformed-university-fellowship,public_letter_signature; ruf_campus_role_snapshot,a_faithful_pca_2021-06-11::signature:261; a_faithful_pca_2022-03-14::signature:279; ruf_campus_catalog_2025::catalog-role:64:page:71
giorgio-hiatt,Giorgio Hiatt,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:350; a_faithful_pca_2022-03-14::signature:366; overture_15_negative_votes_2022::print_order:65
greg-blosser,Greg Blosser,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:343; a_faithful_pca_2022-03-14::signature:359; warhurst_protest_2019::print_order:87
greg-meyer,Greg Meyer,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:495; a_faithful_pca_2022-03-14::signature:498; warhurst_protest_2019::print_order:40
greg-poole,Greg Poole,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_37_minority_2021,a_faithful_pca; overture_37_minority_2021,minority_report_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:54; a_faithful_pca_2022-03-14::signature:74; overture_37_minority_2021::print_order:18
hector-sanchez,Hector Sanchez,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:336; a_faithful_pca_2022-03-14::signature:352; overture_15_negative_votes_2022::print_order:153
jack-howell,Jack Howell,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:39; a_faithful_pca_2022-03-14::signature:59; national_partnership_confirmed_members::confirmed_member:69:jack howell
jacob-spencer,Jacob Spencer,3,3,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:588; nae_withdrawal_protest_2022::print_order:163; overture_15_negative_votes_2022::print_order:167
james-kessler,James Kessler,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:109; a_faithful_pca_2022-03-14::signature:128; national_partnership_confirmed_members::confirmed_member:70:james kessler
james-pocta,James Pocta,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:265; a_faithful_pca_2022-03-14::signature:32; warhurst_protest_2019::print_order:39
jefferson-bennett,Jefferson Bennett,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:213; a_faithful_pca_2022-03-14::signature:231; nae_withdrawal_protest_2022::print_order:13
joel-branscomb,Joel Branscomb,3,3,nae_withdrawal_protest_2022; overture_15_negative_votes_2022; warhurst_protest_2019,nae_withdrawal_protest_2022; overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:20; overture_15_negative_votes_2022::print_order:18; warhurst_protest_2019::print_order:161
john-bourgeois,John Bourgeois,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:97; a_faithful_pca_2022-03-14::signature:116; national_partnership_confirmed_members::confirmed_member:81:john bourgeois
john-standridge,John Standridge,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:405; a_faithful_pca_2022-03-14::signature:415; warhurst_protest_2019::print_order:173
jonathan-dorst,Jonathan Dorst,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_37_minority_2021,a_faithful_pca; overture_37_minority_2021,minority_report_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:373; a_faithful_pca_2022-03-14::signature:384; overture_37_minority_2021::print_order:8
joshua-reitano,Joshua Reitano,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:170; a_faithful_pca_2022-03-14::signature:189; national_partnership_confirmed_members::confirmed_member:89:joshua reitano
joshua-torrey,Joshua Torrey,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:388; a_faithful_pca_2022-03-14::signature:398; nae_withdrawal_protest_2022::print_order:182
justin-woodall,Justin Woodall,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:27; a_faithful_pca_2022-03-14::signature:27; warhurst_protest_2019::print_order:120
kevin-rogers,Kevin Rogers,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:135; a_faithful_pca_2022-03-14::signature:154; national_partnership_confirmed_members::confirmed_member:95:kevin rogers
kevin-timmons,Kevin Timmons,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:399; a_faithful_pca_2022-03-14::signature:409; nae_withdrawal_protest_2022::print_order:180
kyle-edwards,Kyle Edwards,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:314; a_faithful_pca_2022-03-14::signature:330; nae_withdrawal_protest_2022::print_order:45
luke-evans,Luke Evans,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:183; a_faithful_pca_2022-03-14::signature:202; overture_15_negative_votes_2022::print_order:49
mark-bates,Mark Bates,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; institution_mission-to-the-world,a_faithful_pca; institution_mission-to-the-world,institutional_role; public_letter_signature,a_faithful_pca_2021-06-11::signature:26; a_faithful_pca_2022-03-14::signature:26; institution_mission-to-the-world::role:305:mission-to-the-world:line:38
mark-peach,Mark Peach,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:155; a_faithful_pca_2022-03-14::signature:174; overture_15_negative_votes_2022::print_order:136
matt-clegg,Matt Clegg,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:337; a_faithful_pca_2022-03-14::signature:353; overture_15_negative_votes_2022::print_order:29
matt-wiley,Matt Wiley,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:125; a_faithful_pca_2022-03-14::signature:144; warhurst_protest_2019::print_order:110
matthew-trexler,Matthew Trexler,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; ruf_campus_catalog_2025,a_faithful_pca; institution_reformed-university-fellowship,public_letter_signature; ruf_campus_role_snapshot,a_faithful_pca_2021-06-11::signature:256; a_faithful_pca_2022-03-14::signature:274; ruf_campus_catalog_2025::catalog-role:248:page:236
mika-edmondson,Mika Edmondson,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:537; a_faithful_pca_2022-03-14::signature:48; overture_15_negative_votes_2022::print_order:47
nicholas-davis,Nicholas Davis,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:383; a_faithful_pca_2022-03-14::signature:393; warhurst_protest_2019::print_order:167
nick-angert,Nick Angert,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:160; a_faithful_pca_2022-03-14::signature:179; overture_15_negative_votes_2022::print_order:4
noah-wiersema,Noah Wiersema,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:507; a_faithful_pca_2022-03-14::signature:508; nae_withdrawal_protest_2022::print_order:195
patrick-allen,Patrick Allen,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:48; a_faithful_pca_2022-03-14::signature:68; overture_15_negative_votes_2022::print_order:3
patrick-sewell,Patrick Sewell,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:276; a_faithful_pca_2022-03-14::signature:292; overture_15_negative_votes_2022::print_order:158
randy-lovelace,Randy Lovelace,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:203; a_faithful_pca_2022-03-14::signature:221; warhurst_protest_2019::print_order:62
